,Date,High,Low,Open,Close,Volume,Adj Close,Daily Return
0,2020-01-02,1898.010009765625,1864.1500244140625,1875.0,1898.010009765625,4029000,1898.010009765625,
1,2020-01-03,1886.199951171875,1864.5,1864.5,1874.969970703125,3764400,1874.969970703125,-0.012139050344284086
2,2020-01-06,1903.68994140625,1860.0,1860.0,1902.8800048828125,4061800,1902.8800048828125,0.014885589964526824
3,2020-01-07,1913.8900146484373,1892.0400390625,1904.5,1906.8599853515625,4044900,1906.8599853515625,0.0020915561982559616
4,2020-01-08,1911.0,1886.43994140625,1898.0400390625,1891.969970703125,3508000,1891.969970703125,-0.007808656515330026
5,2020-01-09,1917.8199462890625,1895.800048828125,1909.8900146484373,1901.050048828125,3167300,1901.050048828125,0.004799271799026172
6,2020-01-10,1906.93994140625,1880.0,1905.3699951171875,1883.1600341796875,2853700,1883.1600341796875,-0.009410596348826017
7,2020-01-13,1898.0,1880.800048828125,1891.31005859375,1891.300048828125,2780800,1891.300048828125,0.004322529419005683
8,2020-01-14,1887.1099853515625,1858.550048828125,1885.8800048828125,1869.43994140625,3440900,1869.43994140625,-0.011558243989587935
9,2020-01-15,1878.8599853515625,1855.0899658203125,1872.25,1862.02001953125,2896600,1862.02001953125,-0.003969061380714067
10,2020-01-16,1885.5899658203125,1866.02001953125,1882.989990234375,1877.93994140625,2659500,1877.93994140625,0.008549812412332658
11,2020-01-17,1886.6400146484373,1857.25,1885.8900146484373,1864.719970703125,3997300,1864.719970703125,-0.007039613148238089
12,2020-01-21,1894.27001953125,1860.0,1865.0,1892.0,3707800,1892.0,0.014629558177890134
13,2020-01-22,1902.5,1883.3399658203125,1896.0899658203125,1887.4599609375,3216300,1887.4599609375,-0.002399597813160681
14,2020-01-23,1889.97998046875,1872.760009765625,1885.1099853515625,1884.5799560546875,2484600,1884.5799560546875,-0.001525862769232944
15,2020-01-24,1894.989990234375,1847.43994140625,1891.3699951171875,1861.6400146484373,3766200,1861.6400146484373,-0.012172442635055014
16,2020-01-27,1841.0,1815.3399658203125,1820.0,1828.3399658203125,3528500,1828.3399658203125,-0.017887480160557967
17,2020-01-28,1858.1099853515625,1830.02001953125,1840.5,1853.25,2808000,1853.25,0.013624399534750253
18,2020-01-29,1874.75,1855.02001953125,1864.0,1858.0,2088000,1858.0,0.0025630648860111016
19,2020-01-30,1872.8699951171875,1850.6099853515625,1858.0,1870.6800537109373,6327400,1870.6800537109373,0.006824571426769177
